name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 04:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 04:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 05:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 05:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 05:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 05:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 06:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 06:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 06:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 06:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 07:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 07:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 07:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 07:45:30+00:00,0.00075,0.00025,0.00075,0.00075
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 08:00:30+00:00,0.0025,0.0005,0.00525,0.0025
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 08:15:30+00:00,0.0055,0.001,0.01025,0.0055
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 08:30:30+00:00,0.00875,0.0025,0.015,0.00875
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 08:45:30+00:00,0.012,0.005,0.01875,0.01175
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 09:00:30+00:00,0.015,0.00725,0.02475,0.01475
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 09:15:30+00:00,0.021,0.01,0.03025,0.0205
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 09:30:30+00:00,0.02375,0.009,0.03425,0.0235
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 09:45:30+00:00,0.0195,0.00725,0.04025,0.01975
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 10:00:30+00:00,0.028,0.0075,0.0485,0.0285
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 10:15:30+00:00,0.03575,0.007,0.0515,0.03675
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 10:30:30+00:00,0.01675,0.00475,0.0545,0.017
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 10:45:30+00:00,0.027,0.00525,0.04625,0.02825
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 11:00:30+00:00,0.0145,0.005,0.043,0.015
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 11:15:30+00:00,0.011,0.00525,0.03975,0.01125
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 11:30:30+00:00,0.01375,0.0055,0.0455,0.014
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 11:45:30+00:00,0.0195,0.0055,0.06,0.02
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 12:00:30+00:00,0.0405,0.008,0.05675,0.0455
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 12:15:30+00:00,0.024,0.00575,0.05925,0.02625
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 12:30:30+00:00,0.03075,0.006,0.05625,0.034
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 12:45:30+00:00,0.03725,0.00875,0.05475,0.043
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 13:00:30+00:00,0.02925,0.011,0.06025,0.03325
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 13:15:30+00:00,0.03775,0.0075,0.0505,0.0475
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 13:30:30+00:00,0.021,0.00425,0.04775,0.0245
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 13:45:30+00:00,0.00975,0.004,0.03925,0.01
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 14:00:30+00:00,0.02325,0.0045,0.03425,0.031
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 14:15:30+00:00,0.01825,0.005,0.03125,0.0255
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 14:30:30+00:00,0.018,0.0035,0.025,0.02675
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 14:45:30+00:00,0.0065,0.00175,0.02075,0.00875
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 15:00:30+00:00,0.00175,0.00175,0.00725,0.00175
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 15:15:30+00:00,0.003,0.00125,0.00925,0.003
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 15:30:30+00:00,0.002,0.00075,0.00525,0.002
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 15:45:30+00:00,0.0005,0.00025,0.00225,0.0005
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 16:00:30+00:00,0.0,0.0,0.00025,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 16:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 16:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 16:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 17:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 17:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 17:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 17:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 18:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 18:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 18:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 18:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 19:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 19:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 19:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 19:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 20:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 20:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 20:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 20:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 21:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 21:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 21:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 21:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 22:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 22:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 22:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 22:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 23:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 23:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 23:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-18 23:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 07:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 07:45:30+00:00,0.00025,0.00025,0.0005,0.00025
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 08:00:30+00:00,0.004,0.0025,0.005,0.00375
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 08:15:30+00:00,0.0115,0.00525,0.0145,0.00875
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 08:30:30+00:00,0.0175,0.0045,0.0215,0.01475
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 08:45:30+00:00,0.01525,0.003,0.027,0.01425
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 09:00:30+00:00,0.00875,0.0025,0.02725,0.00875
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 09:15:30+00:00,0.01,0.00275,0.03575,0.01
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 09:30:30+00:00,0.03225,0.0075,0.0465,0.03175
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 09:45:30+00:00,0.046,0.02125,0.05175,0.04575
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 10:00:30+00:00,0.04725,0.02825,0.056,0.04825
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 10:15:30+00:00,0.04625,0.03,0.05925,0.04825
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 10:30:30+00:00,0.044,0.032,0.0625,0.0465
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 10:45:30+00:00,0.05375,0.0355,0.064,0.05825
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 11:00:30+00:00,0.058,0.04225,0.0645,0.06475
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 11:15:30+00:00,0.058,0.046,0.06475,0.0665
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 11:30:30+00:00,0.05725,0.04825,0.06425,0.0675
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 11:45:30+00:00,0.0565,0.048,0.06325,0.06825
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 12:00:30+00:00,0.05475,0.0465,0.06175,0.0675
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 12:15:30+00:00,0.05275,0.04475,0.0595,0.06675
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 12:30:30+00:00,0.05025,0.0425,0.0565,0.06575
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 12:45:30+00:00,0.04725,0.03975,0.053,0.06375
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 13:00:30+00:00,0.0435,0.0365,0.049,0.061
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 13:15:30+00:00,0.0395,0.03275,0.04425,0.05775
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 13:30:30+00:00,0.03525,0.0285,0.03925,0.054
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 13:45:30+00:00,0.0305,0.024,0.034,0.0495
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 14:00:30+00:00,0.025,0.01975,0.0285,0.04325
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 14:15:30+00:00,0.01975,0.01525,0.02275,0.03775
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 14:30:30+00:00,0.015,0.01125,0.017,0.03275
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 14:45:30+00:00,0.01,0.0075,0.01125,0.02675
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 15:00:30+00:00,0.007,0.005,0.00775,0.02075
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 15:15:30+00:00,0.0055,0.00375,0.006,0.01425
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 15:30:30+00:00,0.00375,0.00275,0.0045,0.00775
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 15:45:30+00:00,0.002,0.00175,0.00225,0.00225
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 16:00:30+00:00,0.00025,0.00025,0.00025,0.00025
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 16:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 16:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 16:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 17:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 17:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 17:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 17:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 18:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 18:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 18:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 18:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 19:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 19:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 19:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 19:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 20:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 20:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 20:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 20:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 21:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 21:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 21:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 21:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 22:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 22:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 22:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 22:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 23:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 23:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 23:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,12.0,2025-11-19 23:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 04:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 04:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 05:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 05:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 05:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 05:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 06:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 06:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 06:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 06:45:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 07:00:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 07:15:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 07:30:30+00:00,0.0,0.0,0.0,0.0
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 07:45:30+00:00,0.00075,0.00025,0.00075,0.00075
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 08:00:30+00:00,0.0025,0.0005,0.00525,0.0025
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 08:15:30+00:00,0.0055,0.001,0.01025,0.0055
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 08:30:30+00:00,0.00875,0.0025,0.015,0.00875
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 08:45:30+00:00,0.012,0.005,0.01875,0.01175
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 09:00:30+00:00,0.015,0.00725,0.02475,0.01475
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 09:15:30+00:00,0.021,0.01,0.03025,0.0205
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 09:30:30+00:00,0.02375,0.009,0.03425,0.0235
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 09:45:30+00:00,0.0195,0.00725,0.04025,0.01975
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 10:00:30+00:00,0.028,0.0075,0.0485,0.0285
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 10:15:30+00:00,0.03575,0.007,0.0515,0.03675
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 10:30:30+00:00,0.01675,0.00475,0.0545,0.017
Iceland - Penny Lane,61.0,7.5,5.5,2025-11-18 10:45:30+00:00,0.027,0.00525,0.04625,0.02825
